order_id,customer_id,restaurant_id,order_timestamp,order_amount,discount_amount,delivery_fee,payment_mode,order_status
O000030,C02395,R0102,05-10-2025,1494.37,0,36,UPI,Delivered
O000031,C01417,R0006,08-08-2025,832.19,83.22,23,Cash,Refunded
O000032,C03156,R0077,11-02-2024,952.83,95.28,22,Wallet,Cancelled
O000033,C04912,R0008,15-03-2026,1016.04,101.6,42,UPI,Delivered
O000034,C00772,R0123,03-12-2024,420.59,0,34,UPI,Delivered
O000035,C00181,R0111,16-11-2024,1088.19,0,27,Card,Delivered
O000036,C02217,R0200,28-01-2025,1468.44,146.84,60,Cash,Delivered
O000037,C00747,R0063,04-04-2024,1429.36,142.94,28,UPI,Refunded
O000038,C02981,R0180,05-10-2024,814.98,0,52,UPI,Refunded
O000039,C00999,R0074,31-05-2024,1276.79,0,54,Card,Cancelled
O000040,C03926,R0132,05-02-2025,754.69,0,52,Wallet,Delivered
O000041,C01593,R0090,04-01-2024,1047.87,104.79,24,Card,Refunded
O000042,C01264,R0134,14-07-2025,537.96,0,53,Wallet,Refunded
O000043,C03866,R0007,30-06-2025,1005.71,100.57,29,UPI,Cancelled
O000044,C01894,R0154,30-04-2024,443.6,0,50,UPI,Delivered
O000045,C04782,R0017,22-03-2025,309.8,30.98,46,Cash,Cancelled
O000046,C02148,R0066,19-02-2024,849.15,0,53,UPI,Delivered
O000047,C02632,R0159,22-03-2024,1242.26,124.23,22,Cash,Delivered
O000048,C00639,R0139,06-09-2024,674.9,67.49,45,Wallet,Delivered
O000049,C03795,R0046,07-12-2024,341.78,0,41,Wallet,Delivered
O000050,C01610,R0105,09-02-2026,518.54,51.85,56,UPI,Delivered
O000051,C02067,R0016,18-02-2025,896.63,0,35,UPI,Cancelled
O000052,C04069,R0091,23-09-2025,1320.9,0,51,UPI,Cancelled
O000053,C04106,R0110,05-12-2024,1230.92,123.09,29,UPI,Delivered
O000054,C00884,R0011,29-10-2024,458.49,45.85,31,UPI,Delivered
O000055,C03323,R0150,21-01-2024,299.14,0,44,UPI,Delivered
O000056,C00442,R0171,11-08-2024,920.88,92.09,22,Cash,Refunded
O000057,C02706,R0103,15-01-2026,326.57,0,54,Wallet,Delivered
O000058,C04803,R0076,10-08-2025,739.95,0,27,Cash,Cancelled
O000059,C04373,R0188,03-01-2026,1335.6,0,58,Card,Refunded
O000060,C02739,R0021,21-04-2026,1127.84,0,59,Wallet,Delivered
O000061,C04455,R0184,12-02-2024,1467.44,146.74,43,Cash,Cancelled
O000062,C02699,R0020,28-06-2025,630.68,63.07,43,UPI,Delivered
O000063,C02967,R0006,17-06-2024,700.44,0,59,Cash,Refunded
O000064,C03353,R0009,07-12-2024,1306.36,130.64,44,UPI,Delivered
O000065,C01918,R0039,01-11-2024,592.24,59.22,33,Cash,Delivered
O000066,C03757,R0074,02-01-2025,373.15,37.31,36,Card,Delivered
O000067,C03410,R0173,16-08-2024,1042.71,0,59,Wallet,Delivered
O000068,C00480,R0005,27-07-2025,587.46,0,27,UPI,Delivered
O000069,C00544,R0180,03-04-2024,1448.11,0,60,Card,Cancelled
O000070,C01089,R0143,08-12-2024,626.96,62.7,27,Wallet,Refunded
O000071,C00450,R0143,12-09-2024,1291.47,129.15,60,Wallet,Delivered
O000072,C00606,R0057,13-03-2024,330.09,33.01,56,Wallet,Delivered
O000073,C00694,R0139,02-01-2024,709.35,70.94,59,Wallet,Refunded
O000074,C01900,R0096,04-04-2025,781.06,0,32,Wallet,Cancelled
O000075,C00376,R0141,01-02-2024,354.52,0,50,UPI,Cancelled
O000076,C01082,R0081,24-07-2025,1427.74,0,29,Cash,Cancelled
O000077,C03101,R0047,15-02-2025,558.46,0,47,Card,Delivered
O000078,C00217,R0123,15-10-2024,577.21,57.72,25,UPI,Delivered
O000079,C02282,R0173,27-01-2024,1453.76,145.38,22,Cash,Delivered
O000080,C03566,R0170,28-05-2025,1466,146.6,55,Wallet,Cancelled
O000081,C01992,R0045,18-06-2024,703.04,70.3,23,UPI,Delivered
O000082,C01363,R0051,15-01-2026,321.1,32.11,28,UPI,Cancelled
O000083,C03368,R0188,16-04-2026,1435.1,0,20,Card,Cancelled
O000084,C03869,R0065,15-04-2026,364.65,0,50,UPI,Delivered
O000085,C03046,R0110,16-05-2025,1161.11,0,37,UPI,Cancelled
O000086,C03944,R0074,26-12-2024,917.68,91.77,44,Wallet,Delivered
O000087,C03322,R0076,26-04-2026,294.37,29.44,36,UPI,Delivered
O000088,C03698,R0089,12-02-2025,1268.06,126.81,53,Cash,Refunded
O000089,C04191,R0056,16-12-2024,330.07,0,28,Cash,Cancelled
O000090,C03834,R0128,08-02-2026,1540.26,0,47,UPI,Cancelled
O000091,C04746,R0144,06-10-2024,815.24,81.52,46,UPI,Refunded
O000092,C03155,R0053,10-02-2024,900.39,0,32,UPI,Delivered
O000093,C04117,R0049,14-07-2025,1258.04,125.8,43,Card,Cancelled
O000094,C02812,R0025,26-11-2024,904.28,90.43,40,Card,Cancelled
O000095,C03623,R0003,12-04-2026,1176.31,117.63,21,Card,Cancelled
O000096,C01839,R0037,18-08-2024,574.24,0,38,Cash,Cancelled
O000097,C01670,R0185,06-03-2025,1457.83,145.78,57,Card,Delivered
O000098,C02478,R0068,05-03-2024,751.41,0,60,Wallet,Delivered
O000099,C00295,R0075,28-09-2024,1442.24,0,50,Cash,Delivered
O000100,C01208,R0119,29-09-2024,397.45,39.75,38,UPI,Delivered
O000101,C04034,R0095,09-07-2024,1444.09,0,41,UPI,Delivered
O000102,C02224,R0079,06-12-2025,1113.93,111.39,26,Wallet,Cancelled
O000103,C01703,R0083,04-02-2025,1232.65,0,36,UPI,Refunded
O000104,C03544,R0178,04-02-2026,1403.67,0,56,UPI,Delivered
O000105,C01320,R0051,20-04-2024,528.24,0,34,UPI,Delivered
O000106,C00163,R0023,03-06-2025,1232.47,0,56,UPI,Cancelled
O000107,C04032,R0031,08-08-2025,1269.69,0,41,Wallet,Cancelled
O000108,C03410,R0114,01-10-2024,1432.86,143.29,41,UPI,Delivered
O000109,C00852,R0049,06-12-2025,734.06,0,24,UPI,Cancelled
O000110,C02195,R0054,18-05-2024,517.16,0,51,UPI,Refunded
O000111,C04711,R0196,03-10-2025,371.66,0,31,Wallet,Refunded
O000112,C03216,R0172,16-06-2025,925.25,92.53,25,Wallet,Delivered
O000113,C01212,R0052,16-09-2024,1045.84,0,30,Card,Refunded
O000114,C00794,R0124,12-03-2025,460.05,46.01,45,Cash,Refunded
O000115,C00967,R0048,19-05-2024,1354.52,0,32,UPI,Delivered
O000116,C04532,R0025,13-09-2024,1038.31,0,36,Cash,Cancelled
O000117,C01816,R0145,14-07-2025,1525.33,0,39,Cash,Delivered
O000118,C02673,R0198,05-07-2024,1341.03,0,55,Cash,Delivered
O000119,C02990,R0116,11-10-2025,1394.17,0,27,Cash,Delivered
O000120,C01024,R0004,22-03-2026,599.44,0,55,UPI,Refunded
O000121,C00905,R0020,29-04-2025,370.69,37.07,20,Cash,Delivered
O000122,C03431,R0025,15-12-2024,1432.04,0,26,Cash,Delivered
O000123,C00390,R0103,24-04-2026,1156.12,0,32,UPI,Refunded
O000124,C03305,R0196,01-05-2024,591.87,59.19,31,Cash,Refunded
O000125,C00320,R0149,07-03-2025,1452.8,0,23,Card,Refunded
O000126,C02774,R0134,18-05-2024,470.82,0,32,Cash,Delivered
O000127,C02599,R0013,18-02-2026,1237.81,0,59,UPI,Delivered
O000128,C02646,R0083,09-08-2025,706.03,0,35,UPI,Delivered
O000129,C04449,R0056,30-09-2024,513.47,0,31,Cash,Delivered
O000130,C04922,R0034,13-09-2025,1028.6,0,57,UPI,Cancelled
O000131,C02320,R0022,26-11-2024,943.06,0,57,UPI,Cancelled
O000132,C02522,R0083,07-07-2024,1168.41,0,24,UPI,Delivered
O000133,C02569,R0133,21-02-2026,319.59,0,52,Cash,Delivered
O000134,C00574,R0181,17-06-2025,366.41,0,50,Cash,Delivered
O000135,C02082,R0094,02-08-2025,248.26,0,58,UPI,Delivered
O000136,C00437,R0093,08-07-2025,1380.81,138.08,52,UPI,Refunded
O000137,C00290,R0081,16-02-2026,286.71,0,39,UPI,Delivered
O000138,C02889,R0165,04-04-2024,1218.24,0,40,Card,Cancelled
O000139,C04312,R0167,11-08-2024,310.37,0,25,UPI,Refunded
O000140,C03934,R0133,21-12-2025,350.8,0,60,UPI,Delivered
O000141,C01716,R0003,31-05-2025,1179.9,117.99,55,Card,Delivered
O000142,C04714,R0024,22-12-2024,1264.62,0,35,Cash,Delivered
O000143,C00076,R0037,01-05-2025,1252.96,125.3,51,Wallet,Delivered
O000144,C04190,R0025,12-09-2025,1170.08,0,20,Wallet,Refunded
O000145,C02210,R0120,14-11-2025,587.66,0,56,UPI,Delivered
O000146,C00513,R0192,12-04-2025,673.47,67.35,53,Card,Delivered
O000147,C01346,R0046,26-01-2025,1366.96,0,27,Wallet,Cancelled
O000148,C03703,R0160,03-03-2025,1171.73,117.17,60,Wallet,Delivered
O000149,C01849,R0113,05-02-2026,352.32,0,43,Cash,Delivered
O000150,C04029,R0090,09-03-2026,764.36,0,31,Wallet,Cancelled
O000151,C03357,R0094,26-09-2025,247.47,0,31,Cash,Cancelled
O000152,C04004,R0122,30-09-2025,1384.06,0,51,Cash,Delivered
O000153,C03915,R0016,21-04-2026,645.06,0,36,UPI,Delivered
O000154,C01723,R0186,22-06-2025,538.86,53.89,47,UPI,Cancelled
O000155,C03868,R0199,06-12-2025,1177.4,0,25,UPI,Delivered
O000156,C03364,R0034,02-02-2024,1195.75,119.58,58,UPI,Refunded
O000157,C01671,R0136,24-12-2025,1364.54,136.45,22,UPI,Delivered
O000158,C04054,R0149,06-11-2024,1441.88,0,59,UPI,Delivered
O000159,C04971,R0114,25-12-2024,1332.34,0,30,Wallet,Cancelled
O000160,C00237,R0031,18-09-2025,547.93,54.79,24,Wallet,Refunded
O000161,C02891,R0169,25-05-2024,985.46,98.55,56,Card,Delivered
O000162,C03973,R0148,24-02-2025,632.45,0,44,Cash,Refunded
O000163,C03758,R0191,02-01-2024,429.04,0,45,Wallet,Cancelled
O000164,C00925,R0147,17-03-2025,1259.71,125.97,40,UPI,Cancelled
O000165,C04592,R0125,13-01-2026,590.6,59.06,51,UPI,Delivered
O000166,C02766,R0101,08-02-2024,690.52,69.05,28,Wallet,Cancelled
O000167,C01721,R0011,12-03-2025,1216.28,0,50,UPI,Delivered
O000168,C03676,R0097,21-02-2024,991.15,0,59,UPI,Cancelled
O000169,C01092,R0028,11-02-2024,996.32,99.63,46,Card,Refunded
O000170,C02063,R0084,12-03-2024,1028.12,0,37,UPI,Delivered
O000171,C02112,R0082,11-03-2026,1515.74,0,58,Cash,Delivered
O000172,C03373,R0157,22-06-2025,765.11,76.51,25,Card,Delivered
O000173,C01630,R0054,13-02-2026,1447.78,144.78,39,Cash,Delivered
O000174,C03217,R0182,29-12-2024,1161.49,116.15,41,Wallet,Cancelled
O000175,C03832,R0085,29-06-2025,706.27,0,32,Wallet,Delivered
O000176,C04902,R0157,25-01-2025,772.11,0,33,UPI,Delivered
O000177,C01157,R0194,02-06-2024,961.96,0,46,UPI,Delivered
O000178,C03928,R0145,30-09-2025,935.3,0,52,UPI,Refunded
O000179,C04637,R0028,24-12-2024,334.4,33.44,48,UPI,Delivered
O000180,C00823,R0013,29-05-2025,1323.2,132.32,32,UPI,Delivered
O000181,C01390,R0092,19-11-2025,1000.89,100.09,42,UPI,Delivered
O000182,C02852,R0192,14-11-2025,924.99,92.5,38,Wallet,Refunded
O000183,C03988,R0136,21-12-2024,676.98,67.7,59,Cash,Refunded
O000184,C04799,R0180,17-03-2026,458.72,0,26,Cash,Delivered
O000185,C00152,R0173,02-06-2025,542.63,54.26,29,UPI,Refunded
O000186,C04853,R0063,11-03-2024,1256.1,125.61,31,UPI,Cancelled
O000187,C01733,R0097,02-06-2025,1386.95,138.7,50,Wallet,Refunded
O000188,C02123,R0121,28-02-2024,996.87,99.69,36,UPI,Delivered
O000189,C00681,R0119,29-07-2025,1018.81,0,31,UPI,Delivered
O000190,C04649,R0052,28-05-2025,805.19,0,40,Card,Cancelled
O000191,C01716,R0146,24-01-2026,1274.51,127.45,50,Card,Delivered
O000192,C02117,R0157,24-02-2026,832.63,83.26,51,Cash,Cancelled
O000193,C02020,R0192,14-07-2025,449.86,44.99,29,Cash,Delivered
O000194,C02208,R0158,21-02-2024,738.46,0,53,UPI,Refunded
O000195,C02591,R0131,22-12-2024,403.83,40.38,44,UPI,Cancelled
O000196,C04447,R0191,24-02-2026,413.99,0,35,Cash,Delivered
O000197,C01922,R0135,27-12-2024,338.64,0,23,UPI,Delivered
O000198,C01765,R0141,16-04-2025,1378.35,137.84,42,Wallet,Delivered
O000199,C02421,R0016,04-12-2025,773.61,77.36,29,UPI,Delivered
O000200,C04332,R0180,27-09-2025,300.85,30.09,33,UPI,Delivered
O000201,C00742,R0152,08-04-2024,1532.45,153.25,24,Cash,Delivered
O000202,C01247,R0050,01-07-2024,1248.58,124.86,20,UPI,Delivered
O000203,C00486,R0182,29-01-2024,394.27,39.43,52,UPI,Delivered
O000204,C03931,R0072,19-02-2026,1396.68,139.67,40,Card,Cancelled
O000205,C02849,R0018,13-06-2024,547.18,54.72,35,Cash,Delivered
O000206,C03341,R0069,26-07-2024,857.87,0,35,Wallet,Delivered
O000207,C04404,R0045,03-02-2026,536.75,0,22,UPI,Cancelled
O000208,C04674,R0070,11-06-2024,956.01,0,43,Wallet,Delivered
O000209,C03948,R0048,22-09-2025,1170.1,117.01,34,UPI,Delivered
O000210,C04473,R0036,13-03-2026,535.53,0,29,UPI,Delivered
O000211,C03736,R0148,06-02-2025,548.59,0,34,Card,Refunded
O000212,C01237,R0150,16-02-2024,576.71,0,26,Cash,Cancelled
O000213,C04571,R0051,05-02-2024,494.53,0,49,UPI,Cancelled
O000214,C04083,R0125,10-02-2026,1382.25,138.22,29,Wallet,Delivered
O000215,C02151,R0200,01-09-2024,1033.8,0,38,Card,Delivered
O000216,C03712,R0097,04-01-2024,823.29,0,58,UPI,Delivered
O000217,C01953,R0116,06-06-2025,320.83,0,32,Card,Delivered
O000218,C04767,R0177,21-04-2025,1230.32,0,53,Card,Delivered
O000219,C03484,R0085,13-06-2024,1015.9,101.59,27,Wallet,Cancelled
O000220,C03321,R0152,20-01-2026,1092.44,0,46,Card,Delivered
O000221,C02152,R0057,10-03-2026,1251.4,0,59,UPI,Delivered
O000222,C04175,R0149,03-02-2026,1284.46,0,28,Cash,Delivered
O000223,C04381,R0149,28-05-2024,510.11,51.01,51,Cash,Delivered
O000224,C00817,R0047,11-01-2025,674.76,0,47,Cash,Delivered
O000225,C04445,R0168,26-07-2025,1526.01,0,48,UPI,Refunded
O000226,C03678,R0054,23-11-2025,777.22,77.72,32,Card,Refunded
O000227,C04732,R0056,11-08-2024,1504.24,150.42,32,Card,Delivered
O000228,C02914,R0059,19-12-2025,1031.66,0,31,Wallet,Delivered
O000229,C01919,R0047,19-02-2024,1227.24,122.72,24,Card,Delivered
O000230,C03383,R0087,12-01-2026,1080.54,0,43,UPI,Refunded
O000231,C00718,R0128,12-04-2026,405.64,40.56,21,UPI,Refunded
O000232,C01583,R0071,12-04-2025,1027.97,102.8,49,Card,Cancelled
O000233,C03384,R0170,06-11-2025,229.89,22.99,58,UPI,Cancelled
O000234,C01173,R0005,25-06-2025,1466.16,146.62,28,Card,Delivered
O000235,C01845,R0154,13-07-2024,294.21,0,21,Wallet,Delivered
O000236,C01471,R0074,25-07-2024,448.14,0,48,UPI,Cancelled
O000237,C04377,R0125,10-03-2024,801.92,80.19,38,Wallet,Cancelled
O000238,C04806,R0002,05-11-2025,662.61,66.26,51,Card,Cancelled
O000239,C04258,R0100,16-04-2024,263.96,26.4,26,Card,Refunded
O000240,C00846,R0072,31-03-2024,1352.42,0,23,Cash,Cancelled
O000241,C00714,R0027,05-12-2024,752.74,75.27,48,UPI,Delivered
O000242,C00143,R0011,14-07-2024,217.82,0,21,UPI,Delivered
O000243,C03160,R0171,27-01-2026,1268.63,0,33,UPI,Cancelled
O000244,C03974,R0021,17-01-2024,1418.64,141.86,54,UPI,Cancelled
O000245,C04028,R0083,23-04-2024,955.73,0,57,UPI,Delivered
O000246,C03967,R0089,31-05-2024,709.9,0,58,Wallet,Delivered
O000247,C00324,R0101,28-06-2024,363.11,0,47,UPI,Refunded
O000248,C00389,R0065,11-11-2024,718.36,71.84,20,UPI,Cancelled
O000249,C02583,R0066,31-01-2024,793.87,79.39,29,Wallet,Delivered
O000250,C03957,R0019,16-02-2024,362.06,0,42,Cash,Delivered
O000251,C04799,R0160,14-01-2025,536.82,0,38,Card,Delivered
O000252,C01890,R0005,09-11-2025,387.95,0,38,Cash,Delivered
O000253,C01860,R0023,22-11-2025,978.12,97.81,46,UPI,Delivered
O000254,C04113,R0055,01-01-2025,1403.95,0,57,Card,Delivered
O000255,C00530,R0141,18-02-2026,746.52,0,25,UPI,Cancelled
O000256,C04827,R0114,04-01-2024,756.86,0,37,UPI,Delivered
O000257,C04670,R0041,04-01-2025,1124.09,0,46,UPI,Refunded
O000258,C00564,R0036,20-12-2024,519.52,0,23,UPI,Cancelled
O000259,C03590,R0189,20-07-2025,442.93,44.29,57,Cash,Cancelled
O000260,C03490,R0180,19-01-2026,1303.75,130.38,37,Cash,Delivered
O000261,C04594,R0172,09-09-2025,557.17,55.72,51,Wallet,Delivered
O000262,C02806,R0097,14-03-2025,1051.8,0,31,UPI,Delivered
O000263,C00583,R0063,24-01-2025,822.2,0,42,Card,Delivered
O000264,C04331,R0023,25-04-2024,1422.9,0,21,UPI,Delivered
O000265,C01940,R0125,02-09-2024,1201.24,0,27,Cash,Delivered
O000266,C03238,R0131,30-10-2024,545.98,0,31,Cash,Cancelled
O000267,C03047,R0036,27-02-2026,340.2,0,30,Wallet,Cancelled
O000268,C04936,R0108,19-04-2026,692.62,69.26,27,Wallet,Delivered
O000269,C02356,R0137,06-12-2025,765.99,0,23,UPI,Delivered
O000270,C02139,R0171,14-04-2026,823.56,82.36,48,Card,Refunded
O000271,C03973,R0129,13-04-2024,683.84,68.38,39,UPI,Delivered
O000272,C04748,R0096,19-12-2025,495.7,49.57,33,UPI,Cancelled
O000273,C01211,R0019,31-05-2024,454.26,45.43,30,UPI,Delivered
O000274,C02887,R0110,17-10-2025,297.03,0,56,UPI,Delivered
O000275,C04174,R0136,13-10-2025,714.78,0,33,UPI,Delivered
O000276,C01565,R0081,27-01-2025,1102.48,0,33,UPI,Refunded
O000277,C04659,R0189,25-07-2024,975.04,0,29,Card,Cancelled
O000278,C04304,R0129,05-11-2025,1085.25,0,58,UPI,Delivered
O000279,C02668,R0160,05-02-2026,1038.75,0,20,Cash,Cancelled
O000280,C03908,R0155,17-07-2024,1193.73,0,60,UPI,Delivered
O000281,C01436,R0040,14-02-2024,902.76,90.28,38,Cash,Delivered
O000282,C03876,R0191,11-01-2025,1206.55,0,44,Card,Cancelled
O000283,C01179,R0191,23-05-2025,506.71,50.67,31,UPI,Refunded
O000284,C01798,R0179,31-01-2026,389.34,38.93,53,Card,Delivered
O000285,C04734,R0139,18-12-2024,330.9,0,37,UPI,Delivered
O000286,C04917,R0009,16-09-2025,814.17,81.42,36,UPI,Refunded
O000287,C03006,R0095,05-03-2026,694.84,69.48,29,Wallet,Cancelled
O000288,C01872,R0145,29-08-2024,1023.83,0,48,Cash,Delivered
O000289,C00249,R0194,28-06-2025,727.56,72.76,60,UPI,Refunded
O000290,C01342,R0155,15-02-2025,1326.64,132.66,37,Cash,Delivered
O000291,C01226,R0142,08-07-2024,1508.07,150.81,31,Wallet,Delivered
O000292,C02037,R0023,10-07-2024,440.44,0,32,Cash,Delivered
O000293,C03538,R0098,17-04-2024,1048.71,104.87,50,UPI,Cancelled
O000294,C03936,R0118,11-12-2025,700.69,70.07,32,Cash,Delivered
O000295,C03781,R0186,16-05-2024,1413.75,141.38,38,UPI,Delivered
O000296,C02737,R0057,20-02-2025,431.68,0,57,UPI,Refunded
O000297,C03228,R0093,16-04-2025,378.58,0,34,UPI,Refunded
O000298,C03404,R0112,22-01-2026,1194.47,0,30,UPI,Delivered
O000299,C02507,R0062,04-01-2026,942.25,0,20,UPI,Delivered
O000300,C01798,R0165,26-11-2025,458.84,0,44,Cash,Delivered
O000301,C00999,R0165,30-04-2025,1298.81,129.88,33,Cash,Delivered
O000302,C00464,R0064,17-07-2024,717.79,0,52,UPI,Refunded
O000303,C00279,R0037,21-10-2024,1478.64,147.86,24,UPI,Cancelled
O000304,C01049,R0035,19-02-2026,1460.41,0,40,UPI,Cancelled
O000305,C03665,R0056,09-02-2024,1202.02,0,32,UPI,Delivered
O000306,C04587,R0178,26-08-2025,223.98,22.4,33,UPI,Delivered
O000307,C00906,R0186,11-01-2026,505.7,0,60,UPI,Delivered
O000308,C00423,R0177,17-03-2024,1207.8,0,47,UPI,Delivered
O000309,C00959,R0097,12-02-2026,1422.54,0,20,Cash,Delivered
O000310,C02146,R0148,23-04-2025,1090.76,0,20,Cash,Refunded
O000311,C02167,R0035,07-07-2024,956.35,0,24,UPI,Refunded
O000312,C00174,R0050,26-02-2024,432.74,43.27,46,UPI,Delivered
O000313,C01027,R0198,14-08-2025,1072.25,0,30,UPI,Delivered
O000314,C02193,R0037,10-12-2025,1146.44,114.64,53,UPI,Delivered
O000315,C01872,R0099,12-07-2025,607.31,60.73,36,UPI,Delivered
O000316,C03850,R0144,15-04-2026,1474.18,147.42,27,Cash,Cancelled
O000317,C03409,R0010,26-03-2024,648.59,0,26,Card,Delivered
O000318,C04319,R0176,22-05-2025,683.07,0,50,UPI,Delivered
O000319,C03579,R0001,15-06-2025,1449.91,0,47,Card,Delivered
O000320,C01239,R0128,08-01-2024,813.62,81.36,35,Wallet,Refunded
O000321,C00004,R0192,26-04-2024,458.1,0,33,UPI,Delivered
O000322,C04474,R0130,16-06-2025,540.56,54.06,35,Wallet,Delivered
O000323,C03950,R0133,13-11-2024,342.07,0,45,UPI,Cancelled
O000324,C00712,R0157,10-10-2024,515.38,0,32,UPI,Refunded
O000325,C02811,R0064,23-07-2024,1254.5,0,40,Card,Delivered
O000326,C02452,R0186,20-04-2026,922.25,92.23,50,Cash,Delivered
O000327,C00006,R0038,23-06-2024,1017.25,0,33,Card,Delivered
O000328,C02507,R0038,07-03-2025,950.27,95.03,48,UPI,Delivered
O000329,C04783,R0030,19-01-2026,957.5,95.75,57,Cash,Delivered
O000330,C02151,R0057,05-01-2024,518.09,51.81,37,Card,Delivered
O000331,C03747,R0141,08-03-2026,752.47,75.25,39,Card,Delivered
O000332,C02453,R0056,23-07-2024,1400.95,140.09,24,Cash,Delivered
O000333,C03962,R0030,19-04-2025,1228.13,122.81,43,Cash,Refunded
O000334,C03974,R0193,20-04-2026,385.23,0,49,UPI,Cancelled
O000335,C00142,R0029,28-12-2024,1512.03,0,36,Cash,Refunded
O000336,C04051,R0192,01-11-2024,1217.07,121.71,35,UPI,Delivered
O000337,C03199,R0029,10-03-2026,1227.85,122.78,32,Card,Delivered
O000338,C04880,R0077,27-10-2024,1100.19,0,44,UPI,Delivered
O000339,C02600,R0005,09-07-2025,1111.4,0,26,Cash,Delivered
O000340,C03750,R0020,13-02-2026,1124.65,0,58,UPI,Delivered
O000341,C04917,R0148,18-03-2024,1302.06,130.21,53,Wallet,Delivered
O000342,C01367,R0037,15-06-2024,798.3,79.83,59,UPI,Delivered
O000343,C04401,R0162,07-06-2025,449.77,0,29,UPI,Delivered
O000344,C02718,R0100,08-09-2025,579.52,0,54,Card,Cancelled
O000345,C01636,R0034,04-10-2025,364.78,36.48,38,UPI,Refunded
O000346,C03614,R0031,10-07-2024,387.58,0,50,Card,Delivered
O000347,C01745,R0075,30-06-2025,1061.17,106.12,24,Card,Delivered
O000348,C02373,R0075,06-10-2025,583.46,0,57,UPI,Cancelled
O000349,C01107,R0037,26-02-2025,946.26,0,47,Wallet,Cancelled
O000350,C01592,R0064,04-12-2025,1206.1,120.61,31,UPI,Delivered
O000351,C00112,R0045,18-04-2024,842.53,84.25,60,Card,Delivered
O000352,C04320,R0056,01-12-2024,1237.79,0,30,UPI,Delivered
O000353,C03714,R0157,03-04-2026,1422.35,142.23,42,UPI,Delivered
O000354,C03139,R0173,04-03-2025,759.88,75.99,46,Card,Delivered
O000355,C00078,R0127,23-04-2026,1101.59,110.16,58,UPI,Delivered
O000356,C03291,R0055,18-11-2025,1255.08,125.51,60,Card,Delivered
O000357,C00266,R0106,02-04-2024,1461.24,0,53,Card,Delivered
O000358,C02904,R0061,12-07-2025,1323.21,0,47,Cash,Delivered
O000359,C02178,R0002,29-03-2024,316.14,0,32,UPI,Delivered
O000360,C02683,R0176,29-01-2026,887.38,0,22,Wallet,Delivered
O000361,C03708,R0154,08-03-2025,613.75,0,59,UPI,Cancelled
O000362,C01060,R0029,16-03-2026,512.88,51.29,49,Cash,Delivered
O000363,C00600,R0106,04-05-2024,602.25,0,52,UPI,Refunded
O000364,C02991,R0129,01-02-2025,849.35,0,21,UPI,Cancelled
O000365,C04677,R0126,03-09-2025,1050.35,0,27,Card,Delivered
O000366,C03911,R0200,10-02-2025,321.1,0,54,UPI,Delivered
O000367,C03076,R0096,31-03-2025,335.95,0,30,UPI,Delivered
O000368,C04137,R0192,05-01-2025,814.13,0,56,UPI,Delivered
O000369,C03831,R0169,18-01-2026,782.23,0,57,Wallet,Refunded
O000370,C00706,R0066,26-02-2024,1477.46,0,46,UPI,Delivered
